antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Screen Protector', 'Phone'})","frozenset({'Charger', 'Power Bank'})",0.104,0.136,0.104,1.0,7.352941176470588,1.0,0.08985599999999999,inf,0.9642857142857142,0.7647058823529411,1.0,0.8823529411764706
"frozenset({'Charger', 'Power Bank'})","frozenset({'Phone Case', 'Screen Protector'})",0.136,0.104,0.104,0.7647058823529411,7.352941176470588,1.0,0.08985599999999999,3.8079999999999994,1.0,0.7647058823529411,0.7373949579831932,0.8823529411764706
frozenset({'Water Bottle'}),frozenset({'Pen'}),0.048,0.14,0.048,1.0,7.142857142857142,1.0,0.04128,inf,0.903361344537815,0.3428571428571428,1.0,0.6714285714285714
"frozenset({'Notebook', 'Water Bottle', 'Backpack'})",frozenset({'Pen'}),0.048,0.14,0.048,1.0,7.142857142857142,1.0,0.04128,inf,0.903361344537815,0.3428571428571428,1.0,0.6714285714285714
"frozenset({'Notebook', 'Water Bottle'})",frozenset({'Pen'}),0.048,0.14,0.048,1.0,7.142857142857142,1.0,0.04128,inf,0.903361344537815,0.3428571428571428,1.0,0.6714285714285714
frozenset({'Water Bottle'}),"frozenset({'Notebook', 'Pen'})",0.048,0.14,0.048,1.0,7.142857142857142,1.0,0.04128,inf,0.903361344537815,0.3428571428571428,1.0,0.6714285714285714
"frozenset({'Desk Lamp', 'Notebook'})",frozenset({'Pen'}),0.092,0.14,0.092,1.0,7.142857142857142,1.0,0.07912,inf,0.9471365638766519,0.657142857142857,1.0,0.8285714285714285
"frozenset({'Desk Lamp', 'Coffee Mug'})","frozenset({'Notebook', 'Pen'})",0.092,0.14,0.092,1.0,7.142857142857142,1.0,0.07912,inf,0.9471365638766519,0.657142857142857,1.0,0.8285714285714285
"frozenset({'Desk Lamp', 'Notebook', 'Coffee Mug'})",frozenset({'Pen'}),0.092,0.14,0.092,1.0,7.142857142857142,1.0,0.07912,inf,0.9471365638766519,0.657142857142857,1.0,0.8285714285714285
"frozenset({'Desk Lamp', 'Coffee Mug'})",frozenset({'Pen'}),0.092,0.14,0.092,1.0,7.142857142857142,1.0,0.07912,inf,0.9471365638766519,0.657142857142857,1.0,0.8285714285714285
frozenset({'Backpack'}),"frozenset({'Notebook', 'Pen'})",0.048,0.14,0.048,1.0,7.142857142857142,1.0,0.04128,inf,0.903361344537815,0.3428571428571428,1.0,0.6714285714285714
"frozenset({'Notebook', 'Coffee Mug'})",frozenset({'Pen'}),0.092,0.14,0.092,1.0,7.142857142857142,1.0,0.07912,inf,0.9471365638766519,0.657142857142857,1.0,0.8285714285714285
frozenset({'Backpack'}),frozenset({'Pen'}),0.048,0.14,0.048,1.0,7.142857142857142,1.0,0.04128,inf,0.903361344537815,0.3428571428571428,1.0,0.6714285714285714
"frozenset({'Water Bottle', 'Backpack'})",frozenset({'Pen'}),0.048,0.14,0.048,1.0,7.142857142857142,1.0,0.04128,inf,0.903361344537815,0.3428571428571428,1.0,0.6714285714285714
"frozenset({'Notebook', 'Backpack'})",frozenset({'Pen'}),0.048,0.14,0.048,1.0,7.142857142857142,1.0,0.04128,inf,0.903361344537815,0.3428571428571428,1.0,0.6714285714285714
"frozenset({'Water Bottle', 'Backpack'})","frozenset({'Notebook', 'Pen'})",0.048,0.14,0.048,1.0,7.142857142857142,1.0,0.04128,inf,0.903361344537815,0.3428571428571428,1.0,0.6714285714285714
frozenset({'Desk Lamp'}),frozenset({'Pen'}),0.092,0.14,0.092,1.0,7.142857142857142,1.0,0.07912,inf,0.9471365638766519,0.657142857142857,1.0,0.8285714285714285
frozenset({'Desk Lamp'}),"frozenset({'Notebook', 'Pen'})",0.092,0.14,0.092,1.0,7.142857142857142,1.0,0.07912,inf,0.9471365638766519,0.657142857142857,1.0,0.8285714285714285
frozenset({'Pen'}),"frozenset({'Desk Lamp', 'Notebook'})",0.14,0.092,0.092,0.657142857142857,7.1428571428571415,1.0,0.07912,2.6483333333333325,1.0,0.657142857142857,0.6224040276903712,0.8285714285714285
"frozenset({'Notebook', 'Pen'})","frozenset({'Desk Lamp', 'Coffee Mug'})",0.14,0.092,0.092,0.657142857142857,7.1428571428571415,1.0,0.07912,2.6483333333333325,1.0,0.657142857142857,0.6224040276903712,0.8285714285714285
"frozenset({'Notebook', 'Pen'})",frozenset({'Desk Lamp'}),0.14,0.092,0.092,0.657142857142857,7.1428571428571415,1.0,0.07912,2.6483333333333325,1.0,0.657142857142857,0.6224040276903712,0.8285714285714285
frozenset({'Pen'}),"frozenset({'Desk Lamp', 'Notebook', 'Coffee Mug'})",0.14,0.092,0.092,0.657142857142857,7.1428571428571415,1.0,0.07912,2.6483333333333325,1.0,0.657142857142857,0.6224040276903712,0.8285714285714285
frozenset({'Pen'}),frozenset({'Desk Lamp'}),0.14,0.092,0.092,0.657142857142857,7.1428571428571415,1.0,0.07912,2.6483333333333325,1.0,0.657142857142857,0.6224040276903712,0.8285714285714285
frozenset({'Pen'}),"frozenset({'Notebook', 'Coffee Mug'})",0.14,0.092,0.092,0.657142857142857,7.1428571428571415,1.0,0.07912,2.6483333333333325,1.0,0.657142857142857,0.6224040276903712,0.8285714285714285
frozenset({'Pen'}),"frozenset({'Desk Lamp', 'Coffee Mug'})",0.14,0.092,0.092,0.657142857142857,7.1428571428571415,1.0,0.07912,2.6483333333333325,1.0,0.657142857142857,0.6224040276903712,0.8285714285714285
"frozenset({'HDMI Cable', 'Keyboard'})","frozenset({'Monitor', 'USB Hub'})",0.144,0.088,0.088,0.6111111111111112,6.9444444444444455,1.0,0.07532799999999999,2.3451428571428576,1.0,0.6111111111111112,0.5735867446393763,0.8055555555555556
"frozenset({'Mouse', 'Monitor'})","frozenset({'HDMI Cable', 'Keyboard', 'USB Hub'})",0.144,0.088,0.088,0.6111111111111112,6.9444444444444455,1.0,0.07532799999999999,2.3451428571428576,1.0,0.6111111111111112,0.5735867446393763,0.8055555555555556
frozenset({'Monitor'}),"frozenset({'HDMI Cable', 'Keyboard', 'Mouse', 'USB Hub'})",0.144,0.088,0.088,0.6111111111111112,6.9444444444444455,1.0,0.07532799999999999,2.3451428571428576,1.0,0.6111111111111112,0.5735867446393763,0.8055555555555556
"frozenset({'HDMI Cable', 'Keyboard', 'Mouse'})","frozenset({'Monitor', 'USB Hub'})",0.144,0.088,0.088,0.6111111111111112,6.9444444444444455,1.0,0.07532799999999999,2.3451428571428576,1.0,0.6111111111111112,0.5735867446393763,0.8055555555555556
frozenset({'Monitor'}),"frozenset({'HDMI Cable', 'Keyboard', 'USB Hub'})",0.144,0.088,0.088,0.6111111111111112,6.9444444444444455,1.0,0.07532799999999999,2.3451428571428576,1.0,0.6111111111111112,0.5735867446393763,0.8055555555555556
"frozenset({'HDMI Cable', 'Keyboard'})","frozenset({'Mouse', 'Monitor', 'USB Hub'})",0.144,0.088,0.088,0.6111111111111112,6.9444444444444455,1.0,0.07532799999999999,2.3451428571428576,1.0,0.6111111111111112,0.5735867446393763,0.8055555555555556
"frozenset({'HDMI Cable', 'Keyboard', 'Mouse', 'USB Hub'})",frozenset({'Monitor'}),0.088,0.144,0.088,1.0,6.944444444444445,1.0,0.07532799999999999,inf,0.9385964912280701,0.6111111111111112,1.0,0.8055555555555556
"frozenset({'HDMI Cable', 'Keyboard'})",frozenset({'Monitor'}),0.144,0.144,0.144,1.0,6.944444444444445,1.0,0.12326399999999998,inf,1.0,1.0,1.0,1.0
"frozenset({'HDMI Cable', 'Keyboard'})","frozenset({'Mouse', 'Monitor'})",0.144,0.144,0.144,1.0,6.944444444444445,1.0,0.12326399999999998,inf,1.0,1.0,1.0,1.0
"frozenset({'HDMI Cable', 'Keyboard', 'USB Hub'})","frozenset({'Mouse', 'Monitor'})",0.088,0.144,0.088,1.0,6.944444444444445,1.0,0.07532799999999999,inf,0.9385964912280701,0.6111111111111112,1.0,0.8055555555555556
"frozenset({'HDMI Cable', 'Keyboard', 'Mouse'})",frozenset({'Monitor'}),0.144,0.144,0.144,1.0,6.944444444444445,1.0,0.12326399999999998,inf,1.0,1.0,1.0,1.0
"frozenset({'Laptop', 'Monitor', 'Mouse'})","frozenset({'HDMI Cable', 'Keyboard'})",0.056,0.144,0.056,1.0,6.944444444444445,1.0,0.047936,inf,0.9067796610169491,0.38888888888888895,1.0,0.6944444444444444
"frozenset({'Laptop', 'Monitor'})","frozenset({'HDMI Cable', 'Keyboard', 'Mouse'})",0.056,0.144,0.056,1.0,6.944444444444445,1.0,0.047936,inf,0.9067796610169491,0.38888888888888895,1.0,0.6944444444444444
"frozenset({'Mouse', 'Monitor', 'USB Hub'})","frozenset({'HDMI Cable', 'Keyboard'})",0.088,0.144,0.088,1.0,6.944444444444445,1.0,0.07532799999999999,inf,0.9385964912280701,0.6111111111111112,1.0,0.8055555555555556
"frozenset({'HDMI Cable', 'Keyboard', 'Laptop'})","frozenset({'Mouse', 'Monitor'})",0.056,0.144,0.056,1.0,6.944444444444445,1.0,0.047936,inf,0.9067796610169491,0.38888888888888895,1.0,0.6944444444444444
"frozenset({'HDMI Cable', 'Keyboard', 'Laptop', 'Mouse'})",frozenset({'Monitor'}),0.056,0.144,0.056,1.0,6.944444444444445,1.0,0.047936,inf,0.9067796610169491,0.38888888888888895,1.0,0.6944444444444444
"frozenset({'Monitor', 'USB Hub'})","frozenset({'HDMI Cable', 'Keyboard'})",0.088,0.144,0.088,1.0,6.944444444444445,1.0,0.07532799999999999,inf,0.9385964912280701,0.6111111111111112,1.0,0.8055555555555556
frozenset({'Monitor'}),"frozenset({'HDMI Cable', 'Keyboard'})",0.144,0.144,0.144,1.0,6.944444444444445,1.0,0.12326399999999998,inf,1.0,1.0,1.0,1.0
"frozenset({'HDMI Cable', 'Keyboard', 'USB Hub'})",frozenset({'Monitor'}),0.088,0.144,0.088,1.0,6.944444444444445,1.0,0.07532799999999999,inf,0.9385964912280701,0.6111111111111112,1.0,0.8055555555555556
"frozenset({'Monitor', 'USB Hub'})","frozenset({'HDMI Cable', 'Keyboard', 'Mouse'})",0.088,0.144,0.088,1.0,6.944444444444445,1.0,0.07532799999999999,inf,0.9385964912280701,0.6111111111111112,1.0,0.8055555555555556
"frozenset({'Mouse', 'Monitor'})","frozenset({'HDMI Cable', 'Keyboard'})",0.144,0.144,0.144,1.0,6.944444444444445,1.0,0.12326399999999998,inf,1.0,1.0,1.0,1.0
"frozenset({'HDMI Cable', 'Keyboard', 'Laptop'})",frozenset({'Monitor'}),0.056,0.144,0.056,1.0,6.944444444444445,1.0,0.047936,inf,0.9067796610169491,0.38888888888888895,1.0,0.6944444444444444
"frozenset({'Laptop', 'Monitor'})","frozenset({'HDMI Cable', 'Keyboard'})",0.056,0.144,0.056,1.0,6.944444444444445,1.0,0.047936,inf,0.9067796610169491,0.38888888888888895,1.0,0.6944444444444444
frozenset({'Monitor'}),"frozenset({'HDMI Cable', 'Keyboard', 'Mouse'})",0.144,0.144,0.144,1.0,6.944444444444445,1.0,0.12326399999999998,inf,1.0,1.0,1.0,1.0
"frozenset({'Headphones', 'USB Hub'})",frozenset({'Webcam'}),0.104,0.124,0.088,0.8461538461538461,6.823821339950372,1.0,0.07510399999999999,5.694,0.9525162337662336,0.6285714285714286,0.8243765367053039,0.7779156327543424
frozenset({'Webcam'}),"frozenset({'Headphones', 'USB Hub'})",0.124,0.104,0.088,0.7096774193548386,6.8238213399503715,1.0,0.07510399999999999,3.0862222222222213,0.9742631797426318,0.6285714285714286,0.6759792626728109,0.7779156327543424
"frozenset({'Laptop Bag', 'Mouse', 'USB Hub'})","frozenset({'Keyboard', 'Laptop'})",0.088,0.14,0.084,0.9545454545454547,6.818181818181818,1.0,0.07168000000000001,18.920000000000062,0.935672514619883,0.5833333333333333,0.9471458773784357,0.7772727272727273
"frozenset({'Keyboard', 'Laptop', 'Mouse'})","frozenset({'Laptop Bag', 'USB Hub'})",0.14,0.088,0.084,0.6,6.818181818181818,1.0,0.07168000000000001,2.28,0.992248062015504,0.5833333333333333,0.5614035087719298,0.7772727272727273
"frozenset({'Laptop Bag', 'USB Hub'})","frozenset({'Keyboard', 'Laptop'})",0.088,0.14,0.084,0.9545454545454547,6.818181818181818,1.0,0.07168000000000001,18.920000000000062,0.935672514619883,0.5833333333333333,0.9471458773784357,0.7772727272727273
"frozenset({'Keyboard', 'Laptop'})","frozenset({'Laptop Bag', 'USB Hub'})",0.14,0.088,0.084,0.6,6.818181818181818,1.0,0.07168000000000001,2.28,0.992248062015504,0.5833333333333333,0.5614035087719298,0.7772727272727273
"frozenset({'Keyboard', 'Laptop'})","frozenset({'Laptop Bag', 'Mouse', 'USB Hub'})",0.14,0.088,0.084,0.6,6.818181818181818,1.0,0.07168000000000001,2.28,0.992248062015504,0.5833333333333333,0.5614035087719298,0.7772727272727273
"frozenset({'Laptop Bag', 'USB Hub'})","frozenset({'Keyboard', 'Laptop', 'Mouse'})",0.088,0.14,0.084,0.9545454545454547,6.818181818181818,1.0,0.07168000000000001,18.920000000000062,0.935672514619883,0.5833333333333333,0.9471458773784357,0.7772727272727273
"frozenset({'Charger', 'Tablet Cover'})",frozenset({'Earphones'}),0.076,0.148,0.076,1.0,6.756756756756757,1.0,0.064752,inf,0.9220779220779222,0.5135135135135136,1.0,0.7567567567567568
"frozenset({'Tablet', 'Tablet Cover'})",frozenset({'Earphones'}),0.076,0.148,0.076,1.0,6.756756756756757,1.0,0.064752,inf,0.9220779220779222,0.5135135135135136,1.0,0.7567567567567568
"frozenset({'Tablet', 'Charger'})",frozenset({'Earphones'}),0.076,0.148,0.076,1.0,6.756756756756757,1.0,0.064752,inf,0.9220779220779222,0.5135135135135136,1.0,0.7567567567567568
frozenset({'Tablet'}),frozenset({'Earphones'}),0.076,0.148,0.076,1.0,6.756756756756757,1.0,0.064752,inf,0.9220779220779222,0.5135135135135136,1.0,0.7567567567567568
"frozenset({'Tablet', 'Charger', 'Tablet Cover'})",frozenset({'Earphones'}),0.076,0.148,0.076,1.0,6.756756756756757,1.0,0.064752,inf,0.9220779220779222,0.5135135135135136,1.0,0.7567567567567568
frozenset({'Tablet Cover'}),frozenset({'Earphones'}),0.076,0.148,0.076,1.0,6.756756756756757,1.0,0.064752,inf,0.9220779220779222,0.5135135135135136,1.0,0.7567567567567568
frozenset({'Earphones'}),frozenset({'Tablet Cover'}),0.148,0.076,0.076,0.5135135135135135,6.756756756756756,1.0,0.064752,1.8993333333333333,1.0000000000000002,0.5135135135135136,0.4734994734994734,0.7567567567567568
frozenset({'Earphones'}),"frozenset({'Tablet', 'Tablet Cover'})",0.148,0.076,0.076,0.5135135135135135,6.756756756756756,1.0,0.064752,1.8993333333333333,1.0000000000000002,0.5135135135135136,0.4734994734994734,0.7567567567567568
frozenset({'Earphones'}),frozenset({'Tablet'}),0.148,0.076,0.076,0.5135135135135135,6.756756756756756,1.0,0.064752,1.8993333333333333,1.0000000000000002,0.5135135135135136,0.4734994734994734,0.7567567567567568
frozenset({'Earphones'}),"frozenset({'Tablet', 'Charger'})",0.148,0.076,0.076,0.5135135135135135,6.756756756756756,1.0,0.064752,1.8993333333333333,1.0000000000000002,0.5135135135135136,0.4734994734994734,0.7567567567567568
frozenset({'Earphones'}),"frozenset({'Charger', 'Tablet Cover'})",0.148,0.076,0.076,0.5135135135135135,6.756756756756756,1.0,0.064752,1.8993333333333333,1.0000000000000002,0.5135135135135136,0.4734994734994734,0.7567567567567568
frozenset({'Earphones'}),"frozenset({'Tablet', 'Charger', 'Tablet Cover'})",0.148,0.076,0.076,0.5135135135135135,6.756756756756756,1.0,0.064752,1.8993333333333333,1.0000000000000002,0.5135135135135136,0.4734994734994734,0.7567567567567568
"frozenset({'Keyboard', 'Monitor'})","frozenset({'HDMI Cable', 'USB Hub'})",0.144,0.092,0.088,0.6111111111111112,6.642512077294687,1.0,0.074752,2.3348571428571434,0.9923534409515719,0.5945945945945946,0.5717082721488008,0.7838164251207729
"frozenset({'Keyboard', 'Mouse', 'Monitor'})","frozenset({'HDMI Cable', 'USB Hub'})",0.144,0.092,0.088,0.6111111111111112,6.642512077294687,1.0,0.074752,2.3348571428571434,0.9923534409515719,0.5945945945945946,0.5717082721488008,0.7838164251207729
frozenset({'Monitor'}),"frozenset({'HDMI Cable', 'Mouse', 'USB Hub'})",0.144,0.092,0.088,0.6111111111111112,6.642512077294687,1.0,0.074752,2.3348571428571434,0.9923534409515719,0.5945945945945946,0.5717082721488008,0.7838164251207729
frozenset({'Monitor'}),"frozenset({'HDMI Cable', 'USB Hub'})",0.144,0.092,0.088,0.6111111111111112,6.642512077294687,1.0,0.074752,2.3348571428571434,0.9923534409515719,0.5945945945945946,0.5717082721488008,0.7838164251207729
"frozenset({'Mouse', 'Monitor'})","frozenset({'HDMI Cable', 'USB Hub'})",0.144,0.092,0.088,0.6111111111111112,6.642512077294687,1.0,0.074752,2.3348571428571434,0.9923534409515719,0.5945945945945946,0.5717082721488008,0.7838164251207729
"frozenset({'Keyboard', 'Monitor'})","frozenset({'HDMI Cable', 'Mouse', 'USB Hub'})",0.144,0.092,0.088,0.6111111111111112,6.642512077294687,1.0,0.074752,2.3348571428571434,0.9923534409515719,0.5945945945945946,0.5717082721488008,0.7838164251207729
"frozenset({'HDMI Cable', 'USB Hub'})","frozenset({'Keyboard', 'Mouse', 'Monitor'})",0.092,0.144,0.088,0.9565217391304347,6.642512077294686,1.0,0.074752,19.687999999999963,0.935522627152583,0.5945945945945946,0.9492076391710685,0.7838164251207729
"frozenset({'HDMI Cable', 'USB Hub'})","frozenset({'Mouse', 'Monitor'})",0.092,0.144,0.088,0.9565217391304347,6.642512077294686,1.0,0.074752,19.687999999999963,0.935522627152583,0.5945945945945946,0.9492076391710685,0.7838164251207729
"frozenset({'HDMI Cable', 'Mouse', 'USB Hub'})",frozenset({'Monitor'}),0.092,0.144,0.088,0.9565217391304347,6.642512077294686,1.0,0.074752,19.687999999999963,0.935522627152583,0.5945945945945946,0.9492076391710685,0.7838164251207729
"frozenset({'HDMI Cable', 'Mouse', 'USB Hub'})","frozenset({'Keyboard', 'Monitor'})",0.092,0.144,0.088,0.9565217391304347,6.642512077294686,1.0,0.074752,19.687999999999963,0.935522627152583,0.5945945945945946,0.9492076391710685,0.7838164251207729
"frozenset({'HDMI Cable', 'USB Hub'})",frozenset({'Monitor'}),0.092,0.144,0.088,0.9565217391304347,6.642512077294686,1.0,0.074752,19.687999999999963,0.935522627152583,0.5945945945945946,0.9492076391710685,0.7838164251207729
"frozenset({'HDMI Cable', 'USB Hub'})","frozenset({'Keyboard', 'Monitor'})",0.092,0.144,0.088,0.9565217391304347,6.642512077294686,1.0,0.074752,19.687999999999963,0.935522627152583,0.5945945945945946,0.9492076391710685,0.7838164251207729
"frozenset({'Phone Case', 'Phone'})","frozenset({'Charger', 'Power Bank'})",0.116,0.136,0.104,0.8965517241379309,6.592292089249492,1.0,0.088224,8.351999999999991,0.959624086320919,0.7027027027027025,0.8802681992337164,0.8306288032454361
"frozenset({'Charger', 'Power Bank'})","frozenset({'Phone Case', 'Phone'})",0.136,0.116,0.104,0.7647058823529411,6.592292089249492,1.0,0.088224,3.7569999999999992,0.9818376068376069,0.7027027027027025,0.7338301836571732,0.8306288032454361
"frozenset({'Webcam', 'USB Hub'})",frozenset({'Headphones'}),0.088,0.156,0.088,1.0,6.410256410256411,1.0,0.07427199999999999,inf,0.9254385964912281,0.5641025641025641,1.0,0.782051282051282
frozenset({'Headphones'}),"frozenset({'Webcam', 'USB Hub'})",0.156,0.088,0.088,0.5641025641025641,6.410256410256411,1.0,0.07427199999999999,2.092235294117647,1.0,0.5641025641025641,0.5220422852001799,0.782051282051282
frozenset({'Phone Case'}),"frozenset({'Charger', 'Power Bank', 'Phone'})",0.132,0.124,0.104,0.7878787878787878,6.35386119257087,1.0,0.08763199999999999,4.129714285714285,0.9707550514002127,0.6842105263157894,0.7578524975785249,0.8132942326490713
"frozenset({'Charger', 'Power Bank', 'Phone'})",frozenset({'Phone Case'}),0.124,0.132,0.104,0.8387096774193548,6.353861192570869,1.0,0.08763199999999999,5.381599999999997,0.9618897084650508,0.6842105263157894,0.8141816560130816,0.8132942326490713
frozenset({'Phone Case'}),"frozenset({'Charger', 'Power Bank'})",0.132,0.136,0.104,0.7878787878787878,5.793226381461675,1.0,0.08604799999999999,4.073142857142856,0.9532080822403403,0.6341463414634144,0.7544893378226711,0.7762923351158645
"frozenset({'Charger', 'Power Bank'})",frozenset({'Phone Case'}),0.136,0.132,0.104,0.7647058823529411,5.793226381461675,1.0,0.08604799999999999,3.688999999999999,0.9576210826210826,0.6341463414634144,0.7289238275955543,0.7762923351158645
"frozenset({'Headphones', 'Laptop'})","frozenset({'Laptop Bag', 'Mouse'})",0.02,0.18,0.02,1.0,5.555555555555555,1.0,0.0164,inf,0.8367346938775512,0.11111111111111112,1.0,0.5555555555555556
"frozenset({'Laptop Bag', 'Keyboard'})","frozenset({'Mouse', 'USB Hub'})",0.084,0.18,0.084,1.0,5.555555555555555,1.0,0.06888000000000001,inf,0.8951965065502183,0.46666666666666673,1.0,0.7333333333333334
"frozenset({'Keyboard', 'Laptop', 'USB Hub'})","frozenset({'Laptop Bag', 'Mouse'})",0.084,0.18,0.084,1.0,5.555555555555555,1.0,0.06888000000000001,inf,0.8951965065502183,0.46666666666666673,1.0,0.7333333333333334
"frozenset({'Laptop Bag', 'Keyboard', 'Laptop'})","frozenset({'Mouse', 'USB Hub'})",0.084,0.18,0.084,1.0,5.555555555555555,1.0,0.06888000000000001,inf,0.8951965065502183,0.46666666666666673,1.0,0.7333333333333334
"frozenset({'Mouse', 'Laptop', 'USB Hub'})",frozenset({'Laptop Bag'}),0.088,0.18,0.088,1.0,5.555555555555555,1.0,0.07216,inf,0.899122807017544,0.4888888888888888,1.0,0.7444444444444445
"frozenset({'Headphones', 'Laptop'})",frozenset({'Laptop Bag'}),0.02,0.18,0.02,1.0,5.555555555555555,1.0,0.0164,inf,0.8367346938775512,0.11111111111111112,1.0,0.5555555555555556
"frozenset({'Headphones', 'Laptop', 'Mouse'})",frozenset({'Laptop Bag'}),0.02,0.18,0.02,1.0,5.555555555555555,1.0,0.0164,inf,0.8367346938775512,0.11111111111111112,1.0,0.5555555555555556
"frozenset({'Mouse', 'Keyboard', 'Laptop', 'USB Hub'})",frozenset({'Laptop Bag'}),0.084,0.18,0.084,1.0,5.555555555555555,1.0,0.06888000000000001,inf,0.8951965065502183,0.46666666666666673,1.0,0.7333333333333334
"frozenset({'Laptop', 'USB Hub'})","frozenset({'Laptop Bag', 'Mouse'})",0.088,0.18,0.088,1.0,5.555555555555555,1.0,0.07216,inf,0.899122807017544,0.4888888888888888,1.0,0.7444444444444445
"frozenset({'Keyboard', 'Laptop', 'USB Hub'})",frozenset({'Laptop Bag'}),0.084,0.18,0.084,1.0,5.555555555555555,1.0,0.06888000000000001,inf,0.8951965065502183,0.46666666666666673,1.0,0.7333333333333334
"frozenset({'Laptop', 'USB Hub'})",frozenset({'Laptop Bag'}),0.088,0.18,0.088,1.0,5.555555555555555,1.0,0.07216,inf,0.899122807017544,0.4888888888888888,1.0,0.7444444444444445
frozenset({'Coffee Mug'}),"frozenset({'Notebook', 'Pen'})",0.12,0.14,0.092,0.7666666666666667,5.476190476190476,1.0,0.07519999999999999,3.6857142857142864,0.9288537549407113,0.5476190476190476,0.7286821705426357,0.7119047619047618
frozenset({'Coffee Mug'}),frozenset({'Pen'}),0.12,0.14,0.092,0.7666666666666667,5.476190476190476,1.0,0.07519999999999999,3.6857142857142864,0.9288537549407113,0.5476190476190476,0.7286821705426357,0.7119047619047618
frozenset({'Pen'}),frozenset({'Coffee Mug'}),0.14,0.12,0.092,0.657142857142857,5.476190476190475,1.0,0.07519999999999999,2.566666666666666,0.9504550050556116,0.5476190476190476,0.6103896103896103,0.7119047619047618
"frozenset({'Notebook', 'Pen'})",frozenset({'Coffee Mug'}),0.14,0.12,0.092,0.657142857142857,5.476190476190475,1.0,0.07519999999999999,2.566666666666666,0.9504550050556116,0.5476190476190476,0.6103896103896103,0.7119047619047618
"frozenset({'Water Bottle', 'Pen'})",frozenset({'Notebook'}),0.048,0.188,0.048,1.0,5.319148936170213,1.0,0.038976,inf,0.8529411764705882,0.2553191489361702,1.0,0.6276595744680851
"frozenset({'Water Bottle', 'Backpack'})",frozenset({'Notebook'}),0.048,0.188,0.048,1.0,5.319148936170213,1.0,0.038976,inf,0.8529411764705882,0.2553191489361702,1.0,0.6276595744680851
"frozenset({'Water Bottle', 'Pen', 'Backpack'})",frozenset({'Notebook'}),0.048,0.188,0.048,1.0,5.319148936170213,1.0,0.038976,inf,0.8529411764705882,0.2553191489361702,1.0,0.6276595744680851
frozenset({'Backpack'}),frozenset({'Notebook'}),0.048,0.188,0.048,1.0,5.319148936170213,1.0,0.038976,inf,0.8529411764705882,0.2553191489361702,1.0,0.6276595744680851
"frozenset({'Pen', 'Coffee Mug'})",frozenset({'Notebook'}),0.092,0.188,0.092,1.0,5.319148936170213,1.0,0.07470399999999999,inf,0.8942731277533039,0.4893617021276595,1.0,0.7446808510638298
"frozenset({'Desk Lamp', 'Coffee Mug'})",frozenset({'Notebook'}),0.092,0.188,0.092,1.0,5.319148936170213,1.0,0.07470399999999999,inf,0.8942731277533039,0.4893617021276595,1.0,0.7446808510638298
"frozenset({'Desk Lamp', 'Pen', 'Coffee Mug'})",frozenset({'Notebook'}),0.092,0.188,0.092,1.0,5.319148936170213,1.0,0.07470399999999999,inf,0.8942731277533039,0.4893617021276595,1.0,0.7446808510638298
frozenset({'Desk Lamp'}),frozenset({'Notebook'}),0.092,0.188,0.092,1.0,5.319148936170213,1.0,0.07470399999999999,inf,0.8942731277533039,0.4893617021276595,1.0,0.7446808510638298
"frozenset({'Desk Lamp', 'Pen'})",frozenset({'Notebook'}),0.092,0.188,0.092,1.0,5.319148936170213,1.0,0.07470399999999999,inf,0.8942731277533039,0.4893617021276595,1.0,0.7446808510638298
frozenset({'Notebook'}),frozenset({'Pen'}),0.188,0.14,0.14,0.7446808510638299,5.319148936170213,1.0,0.11368,3.368333333333334,0.9999999999999999,0.7446808510638299,0.7031172686788719,0.8723404255319149
frozenset({'Water Bottle'}),frozenset({'Notebook'}),0.048,0.188,0.048,1.0,5.319148936170213,1.0,0.038976,inf,0.8529411764705882,0.2553191489361702,1.0,0.6276595744680851
"frozenset({'Pen', 'Backpack'})",frozenset({'Notebook'}),0.048,0.188,0.048,1.0,5.319148936170213,1.0,0.038976,inf,0.8529411764705882,0.2553191489361702,1.0,0.6276595744680851
frozenset({'Pen'}),frozenset({'Notebook'}),0.14,0.188,0.14,1.0,5.319148936170213,1.0,0.11368,inf,0.9441860465116279,0.7446808510638299,1.0,0.8723404255319149
"frozenset({'Power Bank', 'Phone'})",frozenset({'Screen Protector'}),0.192,0.104,0.104,0.5416666666666666,5.208333333333333,1.0,0.084032,1.9549090909090907,1.0,0.5416666666666666,0.48846726190476186,0.7708333333333333
"frozenset({'Phone Case', 'Screen Protector'})","frozenset({'Power Bank', 'Phone'})",0.104,0.192,0.104,1.0,5.208333333333333,1.0,0.084032,inf,0.9017857142857142,0.5416666666666666,1.0,0.7708333333333333
"frozenset({'Phone', 'Power Bank'})","frozenset({'Charger', 'Screen Protector', 'Phone Case'})",0.192,0.104,0.104,0.5416666666666666,5.208333333333333,1.0,0.084032,1.9549090909090907,1.0,0.5416666666666666,0.48846726190476186,0.7708333333333333
"frozenset({'Power Bank', 'Phone'})","frozenset({'Charger', 'Screen Protector'})",0.192,0.104,0.104,0.5416666666666666,5.208333333333333,1.0,0.084032,1.9549090909090907,1.0,0.5416666666666666,0.48846726190476186,0.7708333333333333
